Wall time,Step,Reward,Episode_Length
1699428511,1892352,213.7567596,360.5499878
1699428552,1908736,234.7282104,364.2799988
1699428557,1910784,243.1611938,366.3699951
1699428569,1916928,265.7060242,371.6600037
1699428599,1931264,294.6971436,376.5
1699428612,1937408,295.4699097,380.730011
1699428647,1953792,249.9244232,367.6300049
1699428651,1955840,252.7063751,370.8500061
1699428659,1959936,241.8612518,367.9500122
1699428663,1961984,252.8161011,369.980011
1699428667,1964032,244.4503937,367.8299866
1699428680,1970176,239.8499603,366.6300049
1699428684,1972224,235.2828827,361.9500122
1699428701,1980416,243.6138153,355.6400146
1699428722,1990656,248.5871735,348.7999878
1699428726,1992704,245.4589691,347.5299988
1699428743,2000896,262.4771729,348.6700134
1699428747,2002944,269.9649658,344.6700134
1699428751,2004992,272.1904907,347.5499878
1699428755,2007040,282.1232605,349.6099854
1699428768,2013184,295.6384583,362.7399902
1699428772,2015232,303.8302307,366.7200012
1699428776,2017280,289.8681335,365.8900146
1699428789,2023424,321.6276855,383.2099915
1699428793,2025472,322.71875,381.7600098
1699428827,2041856,329.4294128,397.4700012
1699428844,2050048,334.7586365,393.9599915
1699428853,2054144,343.602356,393.3800049
1699428861,2058240,349.7271423,390.9500122
1699428866,2060288,357.0231628,389.7600098
1699428878,2066432,364.5090637,385.9899902
1699428896,2074624,387.5761108,394.230011
1699428900,2076672,371.8942261,390.1400146
1699428904,2078720,381.0883484,391.7000122
1699428917,2084864,355.4019165,388.5599976
1699428952,2101248,323.5872192,383.5499878
1699428960,2105344,334.7800293,386.8399963
1699428977,2113536,303.7265015,377.7999878
1699428981,2115584,313.1189575,376.4599915
1699428994,2121728,320.4378662,375.8299866
1699429002,2125824,315.3401794,373.9899902
1699429010,2129920,283.39328,361.0299988
1699429032,2140160,338.9831543,377.2200012
1699429079,2162688,366.1996155,401.0100098
1699429088,2166784,363.5844116,398.1099854
1699429113,2179072,356.4875183,395.4700012
1699429118,2181120,350.3381653,396.269989
1699429126,2185216,308.1392822,384.5899963
1699429134,2189312,280.0525818,370.6600037
1699429152,2197504,247.2151337,360.519989
1699429169,2205696,236.961319,355.3500061
1699429177,2209792,231.0298615,350.4700012
1699429199,2220032,264.1542358,348.8500061
1699429203,2222080,274.4073181,354.3699951
1699429207,2224128,285.9909363,357.519989
1699429242,2240512,309.3896179,371.980011
